mag,len,wid,TMP,SPFH,PRES,UGRD,VGRD,DLWRF,CAPE,PEVAP,APCP,DSWRF,yr
1.0,8.87,150,308.37003,0.0102388,91657.2,-2.22,3.29,432.97,331.904,1.1874,0.0,920.209,2010
2.0,11.77,200,307.32004,0.0109198,91808.56,-1.93,3.47,432.97,398.848,0.9042,0.0,888.429,2010
2.0,17.99,550,307.32004,0.0109198,91808.56,-1.93,3.47,432.97,398.848,0.9042,0.0,888.429,2010
0.0,0.32,50,308.21,0.0072983,91850.68,-4.65,4.63,398.94,0.0,1.0112,0.0,481.32,2010
1.0,2.41,150,308.9,0.0076931,91942.12,-3.27,4.71,398.94,0.0,1.2552,0.0,851.571,2010
0.0,0.18,10,308.9,0.0076931,91942.12,-3.27,4.71,398.94,0.0,1.2552,0.0,851.571,2010
0.0,1.88,50,308.9,0.0076931,91942.12,-3.27,4.71,398.94,0.0,1.2552,0.0,851.571,2010
0.0,0.11,100,308.29,0.0087347,92019.82,-3.13,4.8,414.64,19.456,1.2552,0.0,919.671,2010
0.0,1.0,75,308.29,0.0087347,92019.82,-3.13,4.8,414.64,19.456,1.2552,0.0,919.671,2010
0.0,0.15,20,310.73,0.0095691,91749.04,-2.07,4.22,428.99,564.864,1.2019,0.0,835.193,2010
0.0,2.18,25,310.73,0.0095691,91749.04,-2.07,4.22,428.99,564.864,1.2019,0.0,835.193,2010
0.0,1.28,25,300.51004,0.0106688,91980.14,-1.95,3.78,361.12,410.048,0.1471,0.0,0.0,2010
0.0,0.3,30,300.51004,0.0106688,91980.14,-1.95,3.78,361.12,410.048,0.1471,0.0,0.0,2010
0.0,2.73,125,306.1,0.0112294,92222.48,-1.63,3.29,433.34,692.224,1.0686,0.0,898.49,2010
1.0,5.0,500,304.15,0.0117937,92371.6,-0.86,3.89,433.34,667.008,0.8026,0.0,879.436,2010
1.0,6.7,400,304.15,0.0117937,92371.6,-0.86,3.89,433.34,667.008,0.8026,0.0,879.436,2010
0.0,0.75,50,304.15,0.0117937,92371.6,-0.86,3.89,433.34,667.008,0.8026,0.0,879.436,2010
2.0,3.14,700,304.15,0.0117937,92371.6,-0.86,3.89,433.34,667.008,0.8026,0.0,879.436,2010
1.0,1.83,300,303.66,0.0099388,92336.12,-3.07,3.77,425.08,482.816,1.0026,0.0,805.652,2010
0.0,6.9,30,310.47,0.0080908,91325.18,1.29,6.82,409.55,375.552,1.037,0.0,261.632,2010
0.0,4.0,40,310.47,0.0080908,91325.18,1.29,6.82,409.55,375.552,1.037,0.0,261.632,2010
1.0,1.36,300,310.47,0.0080908,91325.18,1.29,6.82,409.55,375.552,1.037,0.0,261.632,2010
0.0,0.5,20,310.31,0.0125445,91814.56,-1.96,5.77,449.59,2076.736,1.1792,0.0,815.793,2010
1.0,5.09,300,304.76004,0.0088942,92277.18,-2.81,-1.49,407.73,0.0,0.8245,0.0,888.057,2010
2.0,4.5,400,300.67,0.0106362,92243.66,-2.83,-0.77,378.82,5.632,0.8245,0.0,660.065,2010
3.0,4.9,400,300.67,0.0106362,92243.66,-2.83,-0.77,378.82,5.632,0.8245,0.0,660.065,2010
0.0,0.5,30,300.67,0.0106362,92243.66,-2.83,-0.77,378.82,5.632,0.8245,0.0,660.065,2010
1.0,14.0,1000,300.67,0.0106362,92243.66,-2.83,-0.77,378.82,5.632,0.8245,0.0,660.065,2010
0.0,2.0,80,293.72,0.0116577,92254.1,-1.73,-1.3,325.83,35.904,0.0093,0.0,0.0,2010
1.0,2.0,200,310.1,0.0108375,91934.99,-1.83,4.8,445.5,1788.992,1.1677,0.0,733.096,2010
0.0,3.5,80,310.1,0.0108375,91934.99,-1.83,4.8,445.5,1788.992,1.1677,0.0,733.096,2010
1.0,13.0,1250,310.1,0.0108375,91934.99,-1.83,4.8,445.5,1788.992,1.1677,0.0,733.096,2010
1.0,4.0,500,310.1,0.0108375,91934.99,-1.83,4.8,445.5,1788.992,1.1677,0.0,733.096,2010
2.0,1.85,400,310.1,0.0108375,91934.99,-1.83,4.8,445.5,1788.992,1.1677,0.0,733.096,2010
0.0,0.1,10,310.68,0.0111795,91836.16,-1.18,7.75,439.24,1934.592,1.2454,0.0,832.505,2010
0.0,0.77,75,310.68,0.0111795,91836.16,-1.18,7.75,439.24,1934.592,1.2454,0.0,832.505,2010
0.0,1.58,100,306.96005,0.01085,91762.34,-1.47,7.65,419.95,1559.168,0.4099,0.0,103.28,2010
0.0,2.73,50,308.54,0.0104444,91784.04,-0.97,7.44,419.95,1636.096,1.0016,0.0,229.616,2010
0.0,1.28,75,308.54,0.0104444,91784.04,-0.97,7.44,419.95,1636.096,1.0016,0.0,229.616,2010
1.0,10.4,50,306.34,0.0052581,92297.67,-3.66,4.34,362.35,0.0,1.0024,0.0,282.896,2010
1.0,20.0,1000,306.89,0.0041186,92561.56,-3.42,2.89,350.98,0.0,0.9667,0.0,287.36,2010
2.0,22.7,500,306.89,0.0041186,92561.56,-3.42,2.89,350.98,0.0,0.9667,0.0,287.36,2010
1.0,14.1,500,306.89,0.0041186,92561.56,-3.42,2.89,350.98,0.0,0.9667,0.0,287.36,2010
2.0,6.0,300,307.39,0.0040482,92623.73,-3.94,1.94,359.55,0.0,1.2112,0.0,870.553,2010
1.0,8.0,500,297.16,0.0067906,92521.04,-5.42,-1.6,327.17,0.0,0.2065,0.0,64.472,2010
1.0,0.1,75,300.1,0.0068579,92582.68,-7.0,-3.76,375.15,0.0,1.0592,0.0,743.606,2010
0.0,4.25,200,300.1,0.0068579,92582.68,-7.0,-3.76,375.15,0.0,1.0592,0.0,743.606,2010
0.0,2.98,100,311.42,0.0054105,91628.04,4.58,1.32,408.45,84.224,1.2746,0.0,922.169,2010
0.0,0.53,50,305.37,0.0082631,92202.12,-3.69,-4.34,404.26,430.208,0.8514,0.0,383.042,2010
0.0,0.06,20,305.37,0.0082631,92202.12,-3.69,-4.34,404.26,430.208,0.8514,0.0,383.042,2010
0.0,0.1,50,305.9,0.0084323,92229.4,-3.8,-4.47,404.26,607.104,0.8514,0.0,544.464,2010
0.0,0.8,25,308.92,0.0054538003,91606.54,-0.36,-2.83,394.85,201.728,0.9397,0.0,446.553,2010
